Day,Word,Meaning (KR),Synonyms
9,reliable,신뢰할 수 있는,"dependable, trustworthy, credible"
9,take precedence over,~보다 우선하다,"be more important than, come before"
9,allusion,"(간접적인) 언급, 암시","reference, mention, implication, suggestion"
9,locomotion,이동 능력,"movement, motion"
9,principally,주로,mainly
9,rebellion,반란,"uprising, revolt"
9,revive,"회복하다, 소생하다",recover
10,modify,"바꾸다, 조정하다","change, alter, adjust, adapt"
10,initially,처음에,"at first, originally, primarily"
10,critical,"중요한; 위독한, 위험한","important, crucial, essential; dangerous, risky"
10,luminous,빛나는,"brilliant, bright, shining, glowing"
10,facilitate,용이하게 하다,"ease, make easy, help, assist, aid"
10,refinement,개선,"small improvement, advancement, enhancement"
10,attribute,특성; ~의 탓으로 돌리다,"characteristic, trait, quality, property; ascribe, credit, impute"
10,belch,분출하다,"suddenly emit, discharge, erupt, vent"
10,underrate,과소평가하다,"undervalue, underestimate, belittle"
10,immense,거대한,"large, enormous, huge, tremendous"
10,virtue,미덕; 장점,"goodness; merit, desirable quality, strength"
10,bustling,"붐비는, 떠들썩한","busy, lively"
10,distinct,다른; 별개의; 뚜렷한,"different, separate, discrete; definite, clear"
10,thriving,번영하는,"prosperous, successful, flourishing"
10,obvious,분명한,"evident, clear, apparent, conspicuous"
10,exceptional,이례적인,"extraordinary, abnormal, unusual"
10,cumbersome,다루기 힘든,"difficult to handle, burdensome, awkward"
10,boon,"큰 이익, 혜택","great benefit, advantage"
10,optimum,최고의,"best, most favorable, supreme"
10,uniformly,"균일하게, 한결같이","evenly, regularly, consistently"
10,unleash,(속박을) 풀다,"release, unloose"
10,acquire,얻다,"obtain, gain, procure, earn"
10,enigma,수수께끼,"mystery, puzzle, riddle"
10,steadfast,"변함없는, 단호한","unwavering, firm, enduring, resolute"
10,dainty,"우아한, 섬세한","delicate, exquisite, refined"
10,anomaly,"이례적인 것, 예외","irregularity, abnormality, exception"
10,splendid,멋진,"marvelous, magnificent"
10,rapport,(친밀한) 관계,"bond, relationship, link, tie"
10,question,~에 대해 이의를 제기하다,"take a critical look at, dispute"
10,scatter,뿌리다,"disperse, dissipate, distribute, spread out"
10,escalate,"확대되다, 증대하다","intensify, increase, mount, rise"
10,temporary,일시적인,"short-lived, makeshift, transitory"
10,attest,"증명하다, 입증하다","confirm, support, prove"
10,fortify,강화하다,"strengthen, replace"
10,remove,제거하다,"eliminate, extract, withdraw"
10,end,"목적, 목표","purpose, goal, aim"
10,plentiful,풍부한,"abundant, bountiful, rich"
10,make it,(제시간에) 도착하다,arrive
10,devastate,완전히 파괴하다,"destroy, demolish, ravage, ruin"
10,eminently,"대단히, 현저히","exceptionally, highly, extremely"
10,subtraction,"삭감, 공제","decrease, deduction, reduction"
10,as a rule of thumb,"경험적으로 보아, 대개",in general
10,blur,흐리게 하다,"make less distinct, obscure, cloud"
10,relay,전달하다,"transfer, communicate, transmit, impart"
10,expandable,확장할 수 있는,"able to be enlarged, extendable"
10,scrupulous,"세심한, 꼼꼼한; 양심적인","careful, fastidious, meticulous; honest, moral"
10,approximately,대략,"about, roughly, nearly"
10,paradoxical,역설적인,"seemingly contradictory, ironic"
10,source,"근원, 기원","origin, beginning, derivation"
10,adhere,"부착되다, 달라붙다","stick, cleave, cling"
10,available,구할 수 있는,"accessible, obtainable"
10,get rid of,~을 없애다,"eliminate, remove, dispose of"
10,repel,물리치다,"drive away, beat off"
10,maximize,극대화하다,increase to the greatest possible degree
10,outermost,가장 바깥의,"farthest away, farthest, most remote"
10,bind,묶다,"tie, fasten"
10,visible,"눈에 띄는, 명백한",perceptible
11,plausible,그럴듯한,"possible, believable, likely, probable"
11,transform,변형시키다; 바꾸다,"convert, change, alter"
11,counterpart,"쌍을 이루는 한 쪽, 동등한 것",complement; equivalent
11,nevertheless,그럼에도 불구하고,"in spite of that, however, still, yet, nonetheless"
11,pronounced,현저한,"notable, striking, marked, significant, noticeable, distinct, strong"
11,celebrated,유명한,"famous, renowned, well-known"
11,exceedingly,대단히,"highly, extremely, excessively, hugely"
11,chancy,위험한,"risky, perilous, dangerous"
11,vertical,수직의,"upright, up-and-down, erect"
11,persist,지속되다,"continue, last, endure, remain"
11,magnitude,"규모, 정도","extent, size, degree, measure, amount"
11,discern,"파악하다, 알아내다","identify, detect, distinguish"
11,generate,만들어 내다,"produce, create"
11,eccentric,"별난, 특이한","unusual, bizarre, peculiar, odd"
11,alternative,"대안이 되는, 다른; 대안, 선택권","substitutive, different; substitute, choice, option"
11,strategy,"전략, 방법","plan, method, scheme"
11,refine,개선하다,"improve, perfect"
11,precious,귀중한,"valuable, dear, priceless"
11,subtle,"미묘한, 감지하기 어려운","hard to recognize, hardly perceived, slight"
11,conducive to,~에 도움이 되는,"favorable to, helpful for, beneficial to"
11,preoccupied with,~에 몰두한,"concentrated on, absorbed in, immersed in"
11,swift,재빠른,"quick, speedy, fleet"
11,menace,위협하다,"threaten, intimidate, frighten"
11,akin to,유사한,"similar to, like"
11,expend,(시간·에너지 등을) 쓰다,"use, use up, spend, consume"
11,belittle,경시하다,"disregard, underestimate"
11,commend,칭찬하다,"admire, praise, compliment"
11,sue,고소하다,"take a strong legal action against, charge"
11,innovation,"혁신, 새로 도입한 것","new development, novelty, new idea"
11,fragmentation,"붕괴, 분열","destruction, disintegration, disruption"
11,mainly,주로,"principally, generally, primarily, chiefly"
11,sufficient,충분한,"enough, adequate, ample"
11,abnormally,"이례적으로, 이상하게","unusually, oddly, exceptionally, atypically"
11,barrier,"장벽, 장애물","bar, obstacle, obstruction"
11,gigantic,거대한,"huge, immense, colossal"
11,reproduce,"복제하다, 모사하다; 번식하다","copy, duplicate, imitate; breed, multiply, propagate"
11,allow,허락하다,"enable, permit, let"
11,penetrate,꿰뚫다,"pierce, go through, enter"
11,device,"장치, 기구","mechanism, apparatus, appliance"
11,divergent,"다른, 갈라지는","varying, different, dissimilar"
11,flaw,결점,"defect, fault, blemish, shortcoming"
11,buffer,"완화하다, 보호하다","protect, cushion"
11,refute,논박하다,"disprove, rebut, prove false"
11,domestic,가정의,"household, home, family"
11,on the spur of the moment,충동적으로,"without planning, on impulse"
11,temperate,온화한,"moderate, mild, clement"
11,consistent with,~와 일치하는,"in agreement with, congruent with"
11,splendor,"장려함, 화려함","magnificence, grandeur, majesty"
11,prosper,"번창하다, 성공하다","succeed, flourish, thrive"
11,brew,일어나려고 하다,"develop, loom, be on the way"
11,persevere,인내하며 계속하다,"continue, carry on, persist"
11,bias,편견,prejudice
11,administer,관리하다; 투여하다,"manage, supervise, conduct; give, provide"
11,groundless,근거 없는,"unfounded, baseless"
11,arouse,자극하다,"stimulate, provoke, incite"
11,occupy,끌다,"engross, engage, absorb"
11,virtual,사실상의,almost complete
11,unexplored,다루어지지 않은,uncovered
11,tuned to,~와 일치된,in agreement with
12,duration,기간,"span, length, term"
12,massive,"대규모의, 거대한","huge, enormous, very large, tremendous, colossal"
12,feasible,실행 가능한,"practicable, viable, possible, achievable, most likely"
12,vibrant,활기 넘치는; 선명한,"active, vivacious, energetic; vivid, bright, brilliant"
12,accumulation,축적,"buildup, collection, stock"
12,link,"관계, 유대; 관련짓다","connection, bond, tie; connect, relate, associate"
12,informally,비공식적으로,"commonly, casually"
12,sovereign,군주,"master, monarch, ruler"
12,key,중요한; 조,"important, central, essential; tone"
12,eventually,결국,"in the end, finally, ultimately, later, in time"
12,persistent,지속되는,"continuous, enduring, long-lasting, constant"
12,corroborate,확증하다,"confirm, verify, substaniate"
12,inaugurate,"개시하다, 시작하다","introduce, initiate, begin, commence"
12,further,추가적인,"additional, extra, supplementary"
12,concentrate on,~에 집중하다,"focus on, pay attention to"
12,moreover,게다가,"additionally, in addition, as well, besides"
12,execute,수행하다; 제작하다,"perform, carry out, fulfill, implement; produce"
12,urbane,세련된,"cultivated, sophisticated, polished, refined"
12,boast,자랑하다; 가지고 있다,"show off, brag, swagger, pride oneself on; proudly possess"
12,envision,"마음속에 그리다, 상상하다","imagine, conceive, visualize"
12,intermediate,중간의,"in-between, between extremes, median"
12,frightful,무서운,"alarming, fearsome"
12,irrevocable,돌이킬 수 없는,"permanent, irreversible, unchangeable"
12,disintegration,"분해, 붕괴","breaking apart, collapse"
12,burgeoning,급증하는,"rapidly expanding, growing, escalating"
12,terrestrial,속세의,"earthly, worldly"
12,adorn,꾸미다,"decorate, beautify, ornament"
12,revolution,"변혁, 개혁","fundamental change, innovation"
12,randomness,무작위성,lack of pattern
12,superficial,표면적인,"external, not deep, exterior"
12,diversion,주의 전환물,distraction
12,originate from,~에서 비롯되다,"come from, derive from, stem from"
12,intimate,친밀한,"close, familiar"
12,blossom,번영하다,"flourish, bloom, thrive"
12,groundwork,"토대, 기초","foundation, basis, footing"
12,trivial,사소한,"small, frivolous, unimportant, insignificant"
12,posterity,후대,"future generations, next generations"
12,aggravate,악화시키다,"make worse, worsen, exacerbate"
12,obtainable,얻을 수 있는,"available, accessible, attainable"
12,extent,범위,"range, scope, stretch"
12,ingenious,"기발한, 독창적인","inventive, creative, innovative, clever"
12,burst,터지다,"break open, break out"
12,outlying,"외진, 중심에서 떨어진","far from the center, remote, distant"
12,revolve around,~을 중심으로 돌다,"focus on, center on"
12,meticulously,꼼꼼히,"carefully, precisely"
12,utilitarian,실용적인,"practical, pragmatic, functional"
12,constitute,구성하다,"make up, comprise, compose"
12,reciprocal,상호 간의,mutual
12,tendency,경향,"inclination, trend, proneness"
12,artifact,인공 유물,"object, item, article"
12,expedite,"신속히 처리하다, 촉진시키다","accelerate, speed up, urge, rush"
12,scenario,시나리오,"situation, sequence of events"
12,define,분명히 하다,identify
12,propulsion,"추진, 추진력","moving forward, thrust, impetus"
12,resolute,확고한,"firm, determined, steadfast, unwavering"
12,phase,"시기, 단계","period, stage, step"
12,fairly,"꽤, 상당히; 공정하게","reasonably, moderately, pretty; impartially"
13,merely,단지,"simply, only, no more than, just, purely"
13,decimate,"죽이다, 파괴하다","destroy, eliminate, wipe out, demolish, devastate"
13,incentive,"동기, 자극","motivation, motive, encouragement, inducement"
13,retrieve,되찾다,"bring back, get back, recover, obtain, regain"
13,compress,압축하다,"condense, compact, contract, crush"
13,designate,명시하다,"indicate, identify, specify, define"
13,dissemination,"보급, 유포","spread, distribution, diffusion"
13,marked,"두드러진, 현저한","noticeable, considerable, prominent, discernible"
13,hypothetical,"가상의, 가정의","supposed, imaginary"
13,flow,"흐름, 이동","stream, current; movement, motion"
13,precise,정확한,"exact, accurate, definite"
13,stipulate,조건으로서 요구하다,"require, demand, call for"
13,perspective,관점,"point of view, viewpoint, orientation"
13,enhance,향상시키다,"improve, enrich, intensify"
13,fundamental,"근본적인, 기본적인","essential, basic, primary, elementary"
13,evident,분명한,"clear, apparent, obvious, manifest"
13,shift,"옮기다, 바꾸다","move, transfer, change, switch"
13,unique among,~중에서 유일무이한,different from other
13,full-fledged,완전히 발달한,"well-developed, full-blown"
13,laborious,"인내를 요하는, 힘든","difficult, strenuous"
13,emit,"내뿜다, 방출하다","give off, exhale, release, discharge, send out"
13,stunning,놀랄 만큼 멋진,"amazing, impressive, breathtaking, spectacular"
13,tantalizing,흥미를 돋우는; 감질나는,"tempting, enticing; teasing"
13,abandoned,버려진,"no longer occupied, deserted, vacant"
13,transmit,전하다,"convey, communicate, send"
13,candidly,솔직히,"honestly, frankly, plainly"
13,compulsorily,의무적으로,"by requirement, obligatorily, mandatorily"
13,aid,돕다,"assist, support, help, back"
13,deliberation,토의,"discussion, debate, conference"
13,preposterous,터무니없는,"unbelievable, absurd, nonsensical"
13,sparse,드문드문한; 부족한,"scattered, thinly distributed; scanty, meager, scarce, limited"
13,occasionally,가끔,"once in a while, now and then, sometimes"
13,inconceivable,상상도 할 수 없는,"unthinkable, unimaginable"
13,breeding,번식,"reproduction, propagation"
13,overriding,가장 중요한,"dominant, chief, principal"
13,favor,더 좋아하다,"prefer, lean toward"
13,sediment,침전물,"remains, deposition"
13,clever,영리한,"ingenious, smart, brilliant, bright"
13,consistently,일관되게,"regularly, typically, unchangingly"
13,rate,평가하다,"judge, assess, evaluate"
13,predominate,"우세하다; 지배적인, 우세한","outweigh, prevail; most popular"
13,realize,"깨닫다, 이해하다; 달성하다, 실현하다","be aware of, understand, catch on; achieve, accomplish, fulfill"
13,circuitous,우회하는,"indirect, roundabout"
13,owing to,~ 때문에,"due to, because of, as a result of"
13,model,"견본, 전형","specimen, prototype, example"
13,with respect to,~에 관하여,"with regard to, in terms of, in reference to"
13,continuous,계속되는,"uninterrupted, ongoing, unceasing, consecutive"
13,collaborate,협력하다,"cooperate, put effort together, work together"
13,anonymous,"익명의, 신원불명의","unknown, unnamed, unidentified, innominate"
13,somewhat,어느 정도,"to some degree, to some extent, rather"
13,damaging,해로운,"harmful, detrimental, noxious"
13,dramatically,"극적으로, 몹시","greatly, substantially, remarkably"
13,heighten,고조시키다,"increase, intensify"
13,share,몫,"portion, part, allotment"
13,shortly,곧,"soon, presently"
13,besides,게다가; ~ 외에,"in addition, moreover; apart from"
13,seep,스며 나오다,"ooze, flow slowly, pass through slowly"
13,habit,습관,"usual behavior, custom, practice"
14,lethal,치명적인,"deadly, dangerous, fatal, pernicious"
14,modest,"그리 크지 않은, 수수한","small, not large, limited, simple"
14,component,구성 요소,"element, constituent, ingredient, part, factor"
14,exploitation,"이용, 착취","use, abuse, misuse"
14,relic,"유물, 나머지","remains, remnant, vestige"
14,profoundly,"깊이, 대단히","deeply, completely, strongly"
14,deflect,방향을 바꾸다,"change the direction of, divert"
14,highlight,강조하다,"emphasize, stress, underline, accent"
14,exert,"가하다, 행사하다","apply, exercise, employ, put forth, wield"
14,potential,잠재적인; 가능성,"possible, prospective, latent; possibility"
14,recurring,되풀이되는,"repeated, recurrent"
14,meager,불충분한,"scanty, scarce, very low, deficient"
14,prevail,"널리 퍼지다, 만연하다; 이기다","be dominant, dominate, be widespread, be prevalent; triumph"
14,exclusively,"오로지, 전적으로","solely, only, entirely, totally"
14,consensus,합의,"agreement, consent"
14,now and then,가끔,"occasionally, from time to time, at times"
14,discrete,별개의,"separate, distinct, individual"
14,anchor,고정시키다,"hold in place, secure, fasten"
14,improbable,있음직하지 않은,"unlikely, implausible, doubtful"
14,pragmatic,실용적인,"practical, utilitarian"
14,undisputed,모두가 인정하는,"acknowledged, accepted, recognized"
14,allocation,"할당, 배분","distribution, assignment, allotment"
14,inconclusive,결정적이지 않은,"not definitive, indecisive"
14,withstand,견디다,"endure, resist, sustain"
14,cornerstone,"토대, 기초","foundation, basic element, basis, underpinning"
14,marvelous,놀라운,"wonderful, astonishing, amazing"
14,clue,"단서, 증거","information, indication, evidence, trace, sign"
14,unintentionally,의도치 않게,"inadvertently, accidentally, unconsciously"
14,peak,"정점, 절정","height, pinnacle, summit, maximum"
14,continual,끊임없는,"constant, incessant, ceaseless"
14,thorough,철저한,"complete, exhaustive, intensive"
14,accurate,정확한,"precise, correct, exact, true"
14,mobilize,동원하다,"put into action, deploy"
14,given that,~을 고려하면,"accepting that, considering that"
14,cargo,"화물, 짐","shipment, load, freight, burden"
14,solitary,"외딴, 외로운","isolated, secluded, remote; alone, lonely"
14,slightly,약간,"a little, somewhat, a bit"
14,deliberately,일부러,"intentionally, consciously, on purpose"
14,unthinkable,상상도 할 수 없는,"inconceivable, unimaginable"
14,coinage,신조어,"creation, innovation"
14,obligation,"의무, 책임","responsibility, duty, liability"
14,reconcile,화해시키다,"bring together, reunite"
14,severe,"엄한, 가혹한","harsh, extreme, rigorous, strict"
14,foremost,으뜸가는,"most respected, most important, preeminent, supreme"
14,surge,급증하다,"increase, rise, wax"
14,hasten,재촉하다,"accelerate, rush, hurry, speed up"
14,tentatively,머뭇거리며,"without certainty, uncertainly, hesitantly"
14,scorn,"비웃다, 경멸하다","ridicule, disdain, sneer, despise"
14,throughout,~동안 내내,"during every part of, during the whole of"
14,pitfall,"위험, 어려움","difficulty, trouble"
14,coupled with,~과 결합된,"together with, combined with"
14,huge,거대한,"enormous, large, massive, mammoth, gigantic"
14,span,기간; 걸치다,"duration, period, length; extend across, cover, cross"
14,hollow,속이 빈,"empty, vacant, void, unfilled"
14,appreciable,주목할 만한,"significant, noticeable, considerable"
14,shield,보호하다,"protect, defend, safeguard"
14,spearhead,앞장서다,"lead, lead the way, head"
14,methodically,체계적으로,systematically
14,manage to,간신히 ~하다,be able to
15,intact,손상되지 않은,"undamaged, unbroken, whole, complete, unaffected"
15,albeit,비록 ~이지만,"although, though, even though"
15,complex,"복잡한; 복합 건물, 복합체","intricate, complicated, elaborate, involved; group of buildings, system"
15,conventional,"전통적인, 통례의","traditional, customary, standard, usual"
15,reasonable,합리적인; 가격이 적당한,"sensible, rational, logical; sufficient"
15,attainment,성취,"achievement, accomplishment, fulfillment"
15,progressively,점진적으로,increasingly
15,drawback,결점,"disadvantage, problem, defect, shortcoming"
15,suppress,"억제하다, 참다; 진압하다","hold back, restrain; stop by force"
15,incidentally,"덧붙여 말하자면, 그런데",by the way
15,tactic,전략,"strategy, maneuver"
15,substantial,상당한,"large, considerable, significant, noticeable"
15,verify,입증하다,"confirm, establish the truth of, validate"
15,sustained,지속적인,"constant, continued, uninterrupted, prolonged"
15,radical,"근본적인; 극단적인, 과격한","fundamental, basic; extreme, drastic"
15,prime,"최고의, 주요한","peak, high-quality, superior, main"
15,grasp,이해하다,"understand, catch, comprehend, apprehend"
15,prominently,눈에 띄게,"very noticeably, conspicuously, notably"
15,precipitate,"재촉하다, 촉진하다","bring about, cause, give rise to, trigger"
15,interlock,서로 맞물리다,"link, connect, join"
15,accordingly,그에 따라서,"consequently, for that reason"
15,relevant,"관련된, 적절한","applicable, pertinent, germane"
15,remarkably,신기하게도,surprisingly
15,disputable,논란의 여지가 있는,"challengeable, debatable, arguable"
15,ambitious,야심 있는,"desiring success, aspiring"
15,congeal,"굳다, 응고하다","solidify, harden, stiffen, condense"
15,scrupulous,"세심한, 꼼꼼한; 양심적인","careful, fastidious, meticulous; honest, moral"
15,cautious,"신중한, 조심성 있는","careful, wary, prudent, discreet"
15,realm,"영역, 범위","area, field, sphere, domain"
15,dam,둑으로 막다,"block, obstruct"
15,flattery,아첨,praise
15,amplify,"확대하다, 증대하다","increase, magnify, enlarge, expand"
15,dimension,"크기, 규모","size, magnitude"
15,deplete,"다 써버리다, 대폭 감소시키다","exhaust, empty, use up; reduce"
15,characteristic,"특유의; 특징, 특성","distinctive, peculiar, special; quality, feature, trait"
15,ice sheet,대륙 빙하,glacier
15,spectator,"관객, 구경꾼","viewer, onlooker"
15,bountifully,풍부하게,"abundant, copiously, plentifully, exuberantly"
15,suffer paralysis,마비를 겪다,lose the ability to move
15,variation,"변동, 차이","variance, fluctuation, difference"
15,periphery,주변,"edge, boundary, border, fringe"
15,apparently,외관상으로는,"seemingly, ostensibly, outwardly"
15,far-reaching,광범위한,"extensive, widespread, broad"
15,embody,구체적으로 나타내다; 포함하다,"incarnate, represent, manifest; contain, incorporate"
15,evade,피하다,"escape, avoid, elude, dodge, shun"
15,against,"~에 붙여, ~ 옆에","next to, beside"
15,due to,"~로 인한, ~에 기인하는","caused by, owing to, attributable to"
15,classify,분류하다,"categorize, arrange, assort"
15,oblige,강요하다,"force, require, compel"
15,identical,동일한,"same, indistinguishable, equal"
15,intimately,친밀하게,closely
15,questionable,의심스러운,"doubtful, suspicious, dubious"
15,spot,발견하다,"detect, see, find"
15,immerse,"물에 담그다, 잠그다","cover, plunge, dip"
15,not in consensus with,의견이 ~와 일치하지 않는,not in agreement with
15,be tempted to,~하고 싶어지다,be inclined to
15,inception,"시작, 개시",beginning
16,subsequently,그 후에,"later, afterward"
16,explicit,분명한,"clear, specific, obvious, unambiguous, definite"
16,prevailing,(의견 등이) 지배적인,"dominant, widespread, current, existing"
16,rudimentary,"기본적인, 기초의; 미발달의","basic, elementary, fundamental; primitive, undeveloped"
16,allude to,~을 넌지시 언급하다,"suggest, refer to, imply, indicate"
16,assertive,"자기주장이 강한, 독단적인","forceful, dogmatic"
16,fuse,"녹다, 녹이다; 융합하다","melt, dissolve; combine, merge"
16,transitory,일시적인,"short-lived, brief, ephemeral, fleeting"
16,inviolable,"(법 등이) 어길 수 없는, 신성한","without exception, allowing no exception; sacred"
16,supersede,대신하다,"replace, displace, supplant, substitute"
16,abundant,풍부한,"plentiful, bountiful, ample, numerous"
16,significant,상당한; 중요한,"considerable, substantial, serious; important, essential"
16,elaboration,공들여 다듬기; 이론의 전개,"development, improvement"
16,pristine,"자연 그대로의, 오염되지 않은","unspoiled, pure, untouched"
16,steadily,끊임없이,"consistently, continuously, constantly, at an unvarying rate"
16,hence,"따라서, 그러므로","therefore, consequently, thus"
16,fabricate,만들어 내다,"make, produce, build"
16,meet,(문제·위기 등에) 대처하다,"deal with, handle"
16,devour,게걸스럽게 먹다,"eat, consume, gulp, gobble"
16,amiss,잘못된,"wrong, erroneous, faulty"
16,figure out,알아내다,"determine, calculate, work out"
16,augment,증가시키다,supplement
16,trespass,불법 침입하다,"invade, encroach, infringe"
16,deduce,추론하다,"conclude, infer, derive"
16,quantify,"양을 재다, 측정하다",measure
16,aggregation,집단,"group, body, assemblage"
16,lax,태만한,"careful, neglectful, negligent"
16,pace,속도,"speed, rate, tempo"
16,inspect,검사하다,"examine, scan, check"
16,keen,예리한,"sharp, acute"
16,abandon,"버리다, 포기하다","desert, give up, forsake, relinquish"
16,prowess,뛰어난 솜씨,"ability, competence, expertise"
16,anyone can see,누가 봐도 알 수 있듯이,"it is clear, it is apparent"
16,coarse,거친,"rough, crude"
16,impervious,통과할 수 없는,"impermeable, resistant, impenetrable"
16,moderate,"누그러지다; 온건한, 온화한","lessen, diminish; gentle, temperate, mild"
16,stagnant,활발하지 않은,"inactive, sluggish"
16,drive,"몰아가다; 추진력, 진취성; (조직적인) 운동","propel, force, push, impel, compel; ambition; campaign, effort"
16,anxiety,"걱정, 불안","worry, angst, uneasiness"
16,allegedly,전해지는 바에 의하면,"supposedly, reportedly"
16,utilize,이용하다,"employ, use, make use of"
16,differential,차별적인,"uneven, discriminatory"
16,maintain,유지하다; 주장하다,"preserve, continue, sustain, keep; claim, assert, contend"
16,jointly,"함께, 공동으로","together, in conjunction with, as one"
16,catastrophic,"비극적인, 파멸의","disastrous, harmful, tragic, calamitous"
16,aridity,건조함,"dryness, waterlessness"
16,paradoxically,역설적으로,"contradictorily, surprisingly"
16,archetypal,전형적인,"ideal, classic, exemplary"
16,purposely,고의로,"intentionally, deliberately, knowingly"
16,collision,충돌,"crash, smash"
16,implant,"심다, 끼워 넣다","insert, embed"
16,standpoint,"관점, 견해","perspective, point of view"
16,cue,신호,"signal, sign"
16,trappings,"장식, 장신구","decoration, ornament, adornment"
16,spawn,야기하다,"give rise to, create, produce"
16,outbreak,"급격한 증가, (질병 등의) 창궐","sudden increase, upsurge"
17,prolonged,오래 계속되는,"lengthy, extended, protracted"
17,relative,상대적인,comparable
17,ultimate,"최종의, 궁극적인; 근본적인","eventual, final, supreme; fundamental, basic, primary"
17,brittle,"부러지기 쉬운, 깨지기 쉬운","easily broken, breakable, fragile"
17,pioneer,선구자; 개척하다,"leader, founder; first develop, (first) start, first use, introduce"
17,heritage,"유산, 전통","inheritance, legacy; tradition"
17,impetus,자극,"motivation, stimulus, spur, impulse"
17,threshold,"한계점, 기준점","limit, margin"
17,intensify,강화하다,"reinforce, strengthen, enhance"
17,orchestrate,조직하다,"coordinate, organize"
17,hamper,방해하다,"obstruct, impede, hinder, restrict, prevent"
17,inhospitable,불친절한; 살기에 부적당한,"unfavorable, unfriendly; not suitable, uninhabitable"
17,roughly,대략,"approximately, nearly, about"
17,prevalent,"일반적인, 널리 퍼진","common, general, widespread"
17,orientation,"성향, 경향; 오리엔테이션","perspective, inclination, disposition; introduction, induction"
17,converge,모이다,"come together, meet, move closer, gather"
17,inflate,"부풀다, 부풀리다","swell, bloat, expand, enlarge"
17,terrain,"지역, 지형","land, landscape, territory, area"
17,critically,결정적으로,"fundamentally, decisively, crucially"
17,in earnest,진지하게,"seriously, earnestly, solemnly"
17,agile,민첩한,"nimble, quick, active"
17,standstill,"정지, 멈춤","complete stop, halt"
17,persuasively,설득력 있게,"convincingly, compellingly"
17,miraculous,"기적적인, 놀라운","amazing, astonishing, marvelous, unbelievable"
17,intangible,무형의,"nonmaterial, impalpable, incorporeal"
17,secure,확보하다; 안전한,"obtain, get, acquire, procure; safe"
17,subsist,생존하다,"survive, endure, exist"
17,undoubtedly,확실히,"certainly, definitely, without question"
17,dispose of,~을 처리하다,get rid of
17,archive,공식 기록,"official document, record"
17,regenerate,"재건하다, 재생시키다","renew, revive, revitalize"
17,mode,"방식, 형태","method, form, fashion, style"
17,commemorate,기념하다,"celebrate, memorialize"
17,imprecise,부정확한,"inexact, inaccurate"
17,state,명시하다,"indicate, specify, express"
17,anticipate,예상하다,"expect, foresee, predict, forecast"
17,henceforth,지금부터는,"from now on, hereafter"
17,transparent,"투명한, 명쾌한","clear, obvious, lucid, limpid"
17,prominence,중요성,"importance, greatness"
17,incorporate,통합하다,"include, combine, integrate"
17,meticulous,꼼꼼한,"careful, thorough, precise"
17,dismantle,분해하다,"take apart, disassemble, break down"
17,lavish,"풍부한, 호화로운","rich, deluxe, luxurious"
17,dynamic,"역동적인; 원동력, 힘","active, energetic, vigorous, robust; energy, power, driving force"
17,overlook,간과하다,"miss, fail to notice"
17,dormant,"활동하지 않는, 휴면 중인","inactive, torpid"
17,exempt,면제된,"free, immune, not subject to, excused"
17,as a whole,전체적으로,"generally, overall, all together, by and large"
17,rather,"오히려; 좀, 약간","instead; somewhat, slightly"
17,justify,"옹호하다, (정당성을) 증명하다","support, prove, give a rational basis of"
17,chaotic,무질서한,"disorganized, disordered, anarchic"
17,commence,시작하다,"begin, start, originate, initiate"
17,improvised,즉흥의,"unplanned, unprepared, unrehearsed"
17,stem from,~에서 유래하다,"originate from, derive from, arise from"
17,judiciously,"현명하게, 분별 있게","wisely, sensibly, prudently"
17,tolerate,"용인하다, 허용하다","accept, allow, permit"
18,initiative,진취성,"enterprise, ambition, drive"
18,provided that,만약 ~이라면,"if, once, on the condition that, supposing"
18,phenomenal,경이적인,"extraordinary, remarkable"
18,likewise,"마찬가지로, 똑같이; 또한","similarly, in the same way; also, as well"
18,tangible,"유형의, 실재하는","material, physical, concrete, substantial"
18,absurd,터무니없는,"ridiculous, preposterous, ludicrous"
18,inclement,(날씨가) 혹독한,"unfavorable, harsh, severe"
18,overly,지나치게,"excessively, inordinately, unduly"
18,consume,소비하다; 소멸시키다; 먹다,"expend, use up, completely use, exhaust; destroy, devastate, demolish; eat, devour"
18,overall,전반적인,"general, total, comprehensive"
18,promote,촉진하다,"encourage, advance, further, forward"
18,proliferation,급증,"increase, growth, multiplication"
18,copious,풍부한,"plentiful, abundant, ample, bountiful"
18,negligible,사소한,"insignificant, slight, minor, trivial"
18,notably,특히,"particularly, especially, in particular"
18,inhibit,금지하다,"hinder, restrict, limit, restrain, ban, prohibit, forbid"
18,worshiper,예배자,people participating in a religious service
18,pool,모으다; 기업 연합,"combine, put together; combination, group"
18,at the urging of,~의 권고로,at the recommendation of
18,ornamental,장식용의,"decorative, beautifying, embellishing"
18,regime,"정권, 체제","government, administration, authorities"
18,acclaim,격찬하다,"praise, compliment, applaud"
18,comprehensible,이해할 수 있는,"understandable, apprehensible, knowable"
18,disparity,"차이, 불균형","inequality, imbalance, disproportion"
18,bold,용감한,"daring, brave, courageous"
18,noteworthy,주목할 만한,"important, notable, significant"
18,spectacular,"장관인, 눈부신","magnificent, splendid, impressive"
18,extracted from,~에서 뽑아낸,"taken out of, drawn out of"
18,tantalize,애타게 하다,tempt
18,allied,관련된,"related, linked, connected"
18,authoritative,"권위 있는, 믿을 만한","official, authorized"
18,moral,교훈,"lesson, message, teaching"
