No.,Term,Korean Term,Definition,Korean Definition
132,English for academic purposes (EAP),학문 목적의 영어,"see languages for specific purposes","languages for specific purposes 참조"
133,equated forms,동등형 (검사),"forms that are reliable across tests so that a score on a subsequent form of a test has the same validity and interpretability as a score on the original test","이후 검사 형태의 점수가 원래 검사의 점수와 동일한 타당도를 갖도록 여러 검사에 걸쳐 신뢰할 수 있는 검사 형태"
134,equilibration,평형화,"progressive interior organization of knowledge in a stepwise fashion; moving from states of doubt and uncertainty to stages of resolution and certainty","의심과 불확실성의 상태에서 해결과 확실성의 단계로 이동하는 등 단계적인 방식으로 이루어지는 지식의 점진적인 내부 구조화"
135,error,오류,"an idiosyncrasy in the language of the learner that is a direct manifestation of a system within which a learner is operating at the time.","학습자가 당시 운용하고 있는 언어 체계를 직접적으로 보여주는 학습자 언어의 특이성"
136,error analysis,오류 분석,"the study of learners' ill-formed production (spoken or written) in an effort to discover systematicity.","체계성을 발견하기 위해 학습자의 잘못 형성된 산출물(구어/문어)을 연구하는 것"
137,evaluation,평가 (판단),"making decisions about students' performance (and possibly competence) based on the results of tests, other assessments, and/or teachers' reports","시험 결과나 교사의 보고서를 바탕으로 학생의 수행이나 능력에 대한 결정을 내리는 것"
138,exact-word scoring,정확한 단어 채점,"see cloze","cloze 참조"
139,experiential learning,경험 학습,"instruction that highlights giving students concrete experiences in which they must use language in order to fulfill the objectives of a lesson","수업 목표를 달성하기 위해 언어를 사용해야 하는 구체적인 경험을 제공하는 것을 강조하는 수업"
140,explanatory adequacy,설명적 타당성,"satisfying a principled basis, independent of any particular language, for the selection of a descriptively appropriate grammar of a language.","특정 언어와 무관하게 적절한 문법을 선택하기 위한 원칙적인 근거를 충족하는 것"
141,explicit (treatment of form),명시적 (형태 다루기),"drawing learners' focal attention to formal elements of language, as opposed to implicit treatment","암시적 처리와 반대로 언어의 형태적 요소에 학습자의 초점적 주의를 이끄는 것"
142,explicit correction,명시적 교정,"an indication to a student that a form is incorrect and providing a corrected form.","학생에게 어떤 형태가 잘못되었음을 지적하고 수정된 형태를 제공하는 것"
143,explicit knowledge,명시적 지식,"information that a person knows about language, and usually, the ability to articulate that information.","개인이 언어에 대해 알고 있는 정보, 그리고 일반적으로 그 정보를 명확하게 표현할 수 있는 능력"
144,explicit learning,명시적 학습,"acquisition of linguistic competence with conscious awareness of, or focal attention on, the forms of language, usually in the context of instruction.","언어 형태에 대한 의식적인 인식이나 초점적 주의를 가지고 언어 능력을 습득하는 것"
145,extensive reading,다독,"the process of achieving a general understanding of a relatively long text (book, long article, or essay, etc.)","비교적 긴 텍스트의 전반적인 이해를 달성하는 과정"
146,extent,범위 (오류 분석에서의),"the rank of linguistic unit that would have to be deleted, replaced, supplied, or reordered in order to repair the sentence.","문장을 수정하기 위해 삭제, 대체, 공급 또는 재정렬해야 하는 언어 단위의 계급"
147,extra-class work,과외 활동 (숙제),"assignments that a student is given to do outside the regular class hours, commonly called ""homework""","학생들이 정규 수업 시간 외에 수행하도록 주어지는 과제(숙제)"
148,extrinsic motivation,외재적 동기,"choices made and effort expended on activities in anticipation of a reward from outside and beyond the self.","외부에서 주어지는 보상을 기대하며 활동에 대한 선택을 하고 노력을 들이는 것"
149,extroversion,외향성,"the extent to which a person has a deep-seated need to receive ego enhancement, self-esteem, and a sense of wholeness from other people, as opposed to receiving that affirmation within oneself; as opposed to introversion.","내면에서 확신을 얻는 것과 달리 다른 사람들로부터 자아 고양과 자존감을 확인받고자 하는 뿌리 깊은 욕구 정도"
150,face validity (of a test),액면 타당도,"the extent to which a test, on the ""face"" of it, appears from the learner's perspective to test what it is designed to test","수험자의 관점에서 시험의 표면적 모습이 본래 측정하고자 하는 바를 측정하는 것처럼 보이는 정도"
151,facilitative anxiety,촉진 불안,"""helpful"" anxiety, euphoric tension, or the beneficial effects of apprehension over a task to be accomplished","완수해야 할 과업에 대한 두려움이 가져오는 이로운 효과 등 '도움이 되는' 불안감"
152,focal attention,초점적 주의,"giving central attention to a stimulus, as opposed to peripheral attention","주변적 주의와 반대로 자극에 중심적인 주의를 기울이는 것"
153,focus on form,형태 초점,"attention to the organizational structure (grammar, phonology, vocabulary, etc.) of a language","언어의 조직적 구조(문법, 음운, 어휘 등)에 주의를 기울이는 것"
154,focus on form (FonF),형태 초점 교수법,"an approach that attempts to induce learners' incidental learning by drawing their attention to target forms while they are engaged in communicative activities (see form-focused instruction)","학습자가 의사소통 활동에 참여하는 동안 목표 형태에 주의를 이끌어 우연적 학습 유도를 시도하는 접근법"
155,foreign language (context),외국어 (상황),"the target language is not readily accessible outside the classroom; for example, German (as the L2) in Australia","교실 밖에서 목표어에 쉽게 접근할 수 없는 환경; 예를 들어 호주에서 배우는 독일어"
156,fluency,유창성,"the unfettered flow of language production or comprehension, usually without focal attention on language forms","언어 형태에 대한 초점적 주의 없이 언어를 막힘없이 산출하거나 이해하는 흐름"
157,form (of language),언어 형태,"unit of language, such as morphemes, words, grammar rules, discourse rules, and other organizational elements of language","형태소, 단어, 문법 규칙, 담화 규칙 및 기타 언어의 조직적 요소와 같은 언어 단위"
158,form-focused assessment,형태 초점 평가,"assessment that focuses on the organizational components (e.g., grammar, vocabulary) of a language","문법, 어휘 등 언어의 조직적 구성요소에 초점을 맞춘 평가"
159,form-focused instruction (FFI),형태 초점 교수법,"any planned or incidental instructional activity that is intended to include language learners to pay attention to linguistic form","언어 학습자가 언어적 형태에 주의를 기울이도록 의도된 모든 교육적 활동"
160,formal assessment,공식적 평가,"deliberate, planned assessment using scoring and grading criteria and usually with conventionalized feedback","채점 및 등급 기준을 사용하며 대개 관습화된 피드백이 수반되는 계획적인 평가"
161,formal schemata,형식적 스키마,"knowledge about language and discourse structure","언어 및 담화 구조에 대한 지식"
162,formality,형식성,"prescribed forms that certain written messages must adhere to; includes rhetorical, or organizational, formality in essay writing that demands a writer's conformity to conventions like paragraph topics; until a reader is familiar with the formal features of a written text, some difficulty in interpretation may ensue.","특정 서면 메시지가 준수해야 하는 규정된 형식; 작가가 단락 주제와 같은 관습을 따를 것을 요구하는 수사학적/조직적 형식성을 포함함"
163,formative assessment,형성 평가,"ongoing informal evaluation serving the purpose of facilitating improvement in a student's performance","학생 수행 향상을 촉진하기 위한 목적으로 진행되는 지속적인 평가"
164,fossilization,화석화,"the relatively permanent incorporation of incorrect linguistic forms into a person's second language competence","부정확한 언어 형태가 개인의 제2언어 능력에 비교적 영구적으로 통합되는 현상"
165,framing,프레이밍 (구조화),"conceptualizing the universe around us with linguistic symbols that shape the way people think-through words, phrases, and other verbal associations.","단어, 구 등을 통해 사고하는 방식을 형성하는 언어적 기호로 세상을 개념화하는 것"
166,freewriting,자유 작문,"writing simply to start the ""flow"" of writing, with little thought to grammaticality, spelling, logical thinking, or organization","문법, 철자 등에 대한 고민 없이 그저 글쓰기의 '흐름'을 시작하기 위해 단순하게 쓰는 것"
167,function (of language),언어 기능,"a meaningful, interactive purpose within a social (pragmatic) context, which we accomplish with forms of language","언어 형태를 통해 성취하는 사회적(화용론적) 맥락 내에서의 유의미하고 상호작용적인 목적"
168,function word,기능어,"a word (e.g., preposition, pronoun, auxiliary verb, article) that has very little meaning but instead serves to express relationships among other words; as opposed to content word","자체적인 의미는 적으나 단어들 간의 관계를 표현하는 역할을 하는 단어; 내용어(content word)와 반대됨"
169,functional syllabus,기능 중심 교수요목,"see notional-functional syllabus","notional-functional syllabus 참조"
170,gate-keeping,문지기 역할 (관문 통제),"the extent to which tests control entry and exit into and from educational, political, social, and commercial entities","시험이 교육, 사회, 상업 기관으로의 진입과 퇴출을 통제하는 정도"
171,genre,장르,"a category of discourse characterized by similarities in form, style, or subject matter (e.g., academic essay, poem, business letter)","형태나 스타일에 있어 유사성으로 특징지어지는 담화의 범주"
172,genre-based pedagogy,장르 기반 교육학,"a focus on discipline-specific genres, such as laboratory reports, travel brochures, financial reports, essays, or newspaper articles","실험실 보고서, 신문 기사 등 학문별 혹은 분야별 장르에 중점을 두는 교육학"
173,global error,포괄적 오류,"an error that hinders communication or prevents a hearer (or reader) from comprehending some aspect of a message","의사소통을 방해하거나 청자가 메시지를 이해하지 못하게 만드는 전반적인 오류"
174,goal,목표,"the overall purpose toward which a course or a lesson is directed and is intended to achieve","코스나 수업이 지향하고 달성하고자 의도하는 전반적인 목적"
175,grade inflation,학점 인플레이션,"a phenomenon that shows an increase in the frequency of ""high"" grades assigned to students","학생들에게 부여되는 '높은' 성적의 빈도가 증가하는 현상"
176,grading,성적 매기기 (채점),"assigning a score to a test or a composite set of recorded assessments, usually by means of a letter (A through F); absolute grading: a score on a test-taker's performance is empirically calculated by predetermined measures of achievement of learning objectives; relative grading: also known as ""grading on the curve,"" in which a score on a test-taker's performance is compared with those of other test-takers and sometimes altered to suit instructional needs","시험에 성적을 부여하는 것; 절대평가는 기설정된 척도로 점수를 산출하고, 상대평가는 수험자들을 비교하여 평가함"
177,Grammar Translation Method,문법 번역식 교수법,"a language teaching method in which the central focus is on grammatical rules, paradigms, and vocabulary memorization","문법 규칙과 어휘 암기에 중심을 두는 언어 교수법"
178,group dynamics,집단 역학,"the way that two or more students behave with each other in a particular classroom environment, which also influences how they relate to each other and how effectively they communicate and work together","교실 내에서 둘 이상의 학생이 서로 행동하며 효과적으로 의사소통하고 협동하는 방식에 영향을 미치는 역학"
179,group work,그룹 활동,"a variety of techniques in which two or more students are assigned a task that involves collaboration and self-initiated language","학생들이 협력과 자기 주도적 언어 사용을 포함하는 과제를 부여받는 활동"
180,guided writing,유도 작문,"teachers provide a series of stimulators (e.g., asking students a series of questions), which enables them to tell a story just viewed on a videotape","교사가 질문 등 일련의 자극제를 제공하여 학생이 내용을 바탕으로 글을 쓸 수 있도록 돕는 작문"
181,haptics,촉각학,"any form of nonverbal communication involving touch, also known as kinesthetics","신체 접촉을 포함하는 비언어적 의사소통의 형태"
182,high-frequency word,고빈도어,"a word that appears often in written and oral texts and is part of the foundation of vocabulary knowledge that proficient users of the language have acquired; as opposed to low-frequency word","글과 말에 자주 등장하여 언어 능숙자의 어휘 지식 기반이 되는 단어"
183,high-stakes test,고부담 평가,"an instrument that provides information on the basis of which significant, possibly life-altering, decisions are made about test-takers (e.g., admission to a course/school); see also gatekeeping","입학 등 수험자에 대해 삶을 바꿀 만큼 중요한 결정을 내리는 기준이 되는 평가 시험"
184,holistic score,총체적 채점 (점수),"a global rating for a test-taker's language production as determined by a single general scale; as opposed to analytic score","단일 척도에 의해 결정된 수험자의 언어 산출물에 대한 전반적 평가 점수; 분석적 점수와 반대됨"
185,identity,정체성,"the extent to which L2 learners do not perceive themselves merely as individual entities, but more importantly, as an integral and constitutive part of the social world to which they are connected","L2 학습자가 자신을 단순히 개별적 실체로 인식하는 것을 넘어 사회적 세계의 필수적인 구성 요소로 인식하는 정도"
186,idiom,관용구,"figure of speech whose meaning cannot be determined by the literal definition but whose metaphorical meaning is known through common use","문자 그대로의 의미로는 파악할 수 없으나 통상적 사용을 통해 비유적 의미가 굳어진 표현"
187,illocutionary competence,발화수반 능력,"the ability to send and receive intended meaning","의도된 의미를 주고받을 수 있는 능력"
188,illocutionary force,발화수반력,"the intended meaning of the utterance or text within its context","문맥 내에서 발화나 텍스트가 지니는 의도된 의미"
189,imagined communities,상상된 공동체,"a community as perceived by a learner, or the mental image of a socially constructed community","학습자가 인식하는 공동체 혹은 사회적으로 구성된 공동체에 대한 정신적 이미지"
190,immersion education,몰입 교육,"a system in which all academic subjects are taught in a target language such as French, Spanish, or Mandarin","모든 학문적 교과목을 프랑스어나 영어 등 목표어로 가르치는 시스템"
191,implicature,함축,"the meaning a speaker suggests or implies with an utterance, even though it is not literally expressed; a key concept in pragmatics, the branch of linguistics that studies how context contributes to meaning.","문자 그대로 표현되지 않았지만 화자가 암시하는 의미; 화용론의 핵심 개념"
192,implicit (treatment of form),암시적 (형태 다루기),"incorporation of formal elements of language without overt focal attention to forms, as opposed to explicit treatment of form","형태에 대한 명시적/초점적 주의 없이 언어의 형태적 요소를 통합하는 것"
193,implicit knowledge,암시적 지식,"information that is automatically and spontaneously used in language tasks.","언어 과업에서 자동적이고 자발적으로 사용되는 지식 정보"
194,implicit learning,암시적 학습,"acquisition of linguistic competence without intention to learn and without focal awareness of what has been learned, as opposed to explicit learning.","학습할 의도나 배운 것에 대한 초점적 인식 없이 언어 능력을 습득하는 것"
195,incidental learning,우연적 학습,"acquisition without intention to learn or focal awareness of elements of language, as opposed to intentional learning","언어 요소에 대한 학습 의도 없이 우연하게 이루어지는 습득"
196,indirect testing,간접 평가,"an assessment method in which the test-taker is not required to perform the target task; rather, inference is made from performance on nontarget tasks; as opposed to direct testing","목표 과업을 직접 수행하지 않고 비목표 과업의 수행 결과를 통해 추론하는 평가 방식"
197,induced errors,유도된 오류,"errors caused by something in the learner's environment, such as the teacher, a textbook, or the classroom methodology.","교사나 교과서 등 학습자의 외부 환경 요소에 의해 발생한 오류"
198,informal assessment,비공식적 평가,"incidental, unplanned evaluation usually embedded in classroom tasks, and usually designed to elicit improved performance (see formal assessment)","수행 향상을 유도하기 위해 교실 과업에 우연적이고 무계획적으로 내재된 평가"
199,information transfer,정보 전이,"a process in which information processed from one skill (e.g., listening to a telephone message) is used to perform another skill (e.g., writing down a name/number to return a phone call)","듣기 등 한 가지 기능에서 처리된 정보를 쓰기 등 다른 기능 수행을 위해 변환하여 사용하는 과정"
200,inhibition,심리적 장벽 (억압),"apprehension over one's self-identity or fear of showing self-doubt, leading to building mechanisms of protective self-defense.","자기 회의를 드러내는 것에 대한 두려움으로 인해 보호적 자아 방어 기제를 구축하는 심리적 억압"
201,input enhancement,입력 강화,"highlighting, boldfacing, or otherwise calling attention to certain target grammatical forms in a reading text","텍스트에서 특정 목표 문법 형태에 형광펜 등을 칠하여 학습자의 주의를 이끄는 기법"
202,institutionalized expression,제도화된 표현,"a longer utterance that is fixed in form and used for social interaction (e.g., ""How do you do?"")","형태가 고정되어 일상적인 사회적 상호작용에서 사용되는 관용적 발화"
203,instrumental orientation,도구적 지향,"acquiring a language as a means for attaining instrumental goals, such as acquiring a degree or certificate in an academic institution, furthering a career, reading technical material, translation, etc.","학위 취득이나 경력 발전 등 실용적이고 도구적인 목표 달성을 수단으로 언어를 습득하는 것"
204,intake,흡수 (인테이크),"what is actually remembered, subsumed, and internalized from various inputs to the learner, especially teacher input.","학습자에게 제공된 입력 중 실제로 기억되고 내면화된 부분"
205,integrative orientation,통합적 지향,"learning a language in order to integrate oneself into the culture of a second language group and become involved in social interchange in that group","제2언어 집단의 문화에 자신을 통합시키고 사회적 교류에 참여하기 위해 언어를 배우는 성향"
206,integrative test,통합 평가,"a test that treats language competence as a unified set of skills (listening, reading, speaking, and writing) interacting with grammatical, lexical, and phonological knowledge","언어 능력을 여러 언어 지식이 상호작용하는 4가지 기능의 통합 세트로 간주하여 측정하는 시험"
207,integrative testing,통합 평가 (테스팅),"a view of testing that incorporated the whole of a communicative event, considered to be greater than the sum of its linguistic elements","의사소통 사건 전체를 통합하여 언어적 요소의 단순 합보다 크다고 간주하는 평가 관점"
208,intensive reading,정독,"usually a classroom-oriented activity in which students focus on the linguistic or semantic details of a passage","학습자가 지문의 언어적/의미론적 세부 사항에 초점을 맞추어 자세히 읽는 교실 중심 읽기 활동"
209,intentional learning,의도적 학습,"see explicit (treatment of form)","explicit (treatment of form) 참조"
210,inter-rater reliability,채점자 간 신뢰도,"the degree of agreement or consistency between two or more different raters (judges, observers, or examiners) when they assess the same performance, behavior, or data; see also reliability.","두 명 이상의 서로 다른 평가자가 동일한 대상을 평가할 때 나타나는 일치도나 일관성"
211,interaction,상호작용,"the collaborative exchange of thoughts, feelings, or ideas between two or more people; in an L2 classroom, face-to-face communication (usually orally) involving pair/group work, meaningful communication, and spontaneous conversations and discussions","생각이나 감정의 협력적 교환; 교실 내에서는 유의미한 대면 의사소통 및 대화"
212,interaction hypothesis,상호작용 가설,"the claim that language competence is the result not only of input but also of meaningful interaction","언어 능력이 입력뿐만 아니라 유의미한 상호작용의 결과로 형성된다는 가설"
213,interactional competence,상호작용 능력,"the ability to interact communicatively with a focus on such interactional factors as participant identity, construction of interpersonal meanings, turn-taking, and sociopragmatics.","차례 교대나 참여자 정체성 등 상호작용적 요인에 초점을 맞추어 의사소통하는 능력"
214,interactive (skills),상호작용적 (기술),"combining the use of more than one skill (reading, writing, speaking, or listening) when using language","언어 사용 시 읽기, 쓰기 등 하나 이상의 기능을 결합하여 사용하는 기능"
215,intercultural competence,상호문화 능력,"ability to understand, empathize with, and/or function in a culture or cultures other than one's L1 culture","자신의 모국어 문화를 제외한 다른 문화를 이해하고 공감하며 해당 문화에서 기능할 수 있는 능력"
216,intercultural rhetoric,상호문화 수사학,"accounting for the richness of rhetorical variation of written texts, the varying contexts in which they are constructed, and the cultural characteristics of writing (see contrastive rhetoric)","서면 텍스트의 다양한 수사학적 변이와 작성 맥락, 그리고 글쓰기의 문화적 특성을 설명하는 수사학"
217,interference,간섭,"negative transfer in which a previous item is incorrectly transferred or incorrectly associated with an item to be learned","이전 학습 요소가 부정확하게 전이되거나 새로운 항목과 잘못 연결되어 나타나는 부정적 전이"
218,interlanguage,중간언어,"learner language that emphasizes the separateness of a second language learner's system, a system that has a structurally intermediate status between the native and target languages","모국어와 목표어 사이에서 구조적으로 중간 상태에 놓여 독자적인 체계를 갖는 학습자 언어"
219,interlingual transfer,언어 간 전이,"the effect of one language on another","한 언어가 다른 언어의 학습이나 사용에 미치는 영향"
220,interpersonal,대인 간의,"existing or happening between people","사람과 사람 사이에 존재하거나 발생하는 특성"
221,interview,인터뷰 (면접),"context in which a teacher engages in a face-to-face question-and-answer dialogue with a student for a designated assessment purpose","지정된 평가 목적을 위해 교사와 학생이 대면하여 질의응답을 나누는 상황"
222,intra-rater reliability,채점자 내 신뢰도,"the consistency of a single rater's assessments across multiple instances of evaluating the same performance or response; it measures how reliably an individual rater applies the same criteria and standards each time they assess similar work; see also reliability.","단일 평가자가 동일한 기준을 일관되게 적용하여 유사 과제를 채점할 때 나타나는 평가의 일관성"
223,intralingual transfer,언어 내 전이,"the effect of forms, patterns, and discourse conventions of one language (usually the L2) on other forms, patterns, and discourse conventions within the same language","목표어(제2언어) 내의 특정 형태나 규칙이 해당 언어 내의 다른 요소들에 미치는 전이 효과"
224,intrinsic motivation,내재적 동기,"choices made and effort expended on activities for which there is no apparent reward except the activity itself","활동 그 자체 외에는 뚜렷한 외부 보상이 없더라도 스스로 원해서 활동을 선택하고 노력하는 동기"
225,investment,투자,"commitment and motivation to accomplish major goals (such as language learning); learners are seeking to increase the ""value"" of their cultural capital","언어 학습과 같은 주요 목표 달성을 위한 헌신과 노력; 학습자가 자신의 문화 자본의 가치를 높이려는 시도"
226,item discrimination (ID),문항 변별도,"a statistic used to differentiate between high- and low-ability test-takers","상위 능력자와 하위 능력자의 성취를 뚜렷하게 구별해 내는 능력을 나타내는 문항의 통계치"
227,item facility (IF),문항 이지도,"a statistic used to examine the percentage of students who correctly answer a given test item","주어진 문항에 대해 전체 학생 중 정답을 맞춘 학생의 비율을 나타내는 난이도 관련 통계치"
228,item response theory,문항 반응 이론,"a measurement approach that uses complex statistical modeling of test performance data to make generalizations about item characteristics","평가 데이터의 복잡한 통계적 모델링을 통해 개별 문항의 특성을 파악하는 현대 평가 측정 접근법"
229,key,정답,"the correct response to a multiple-choice question","선다형(객관식) 문항의 올바른 응답"
230,kinesthetic learning,운동감각적 학습,"a learning style that is the tendency to prefer demonstrations and physical activity involving bodily movement; kinesthetics refers to conventions for how to touch others and where to touch them in nonverbal communication.","신체의 움직임이나 직접적인 신체 활동을 선호하는 학습 유형"
231,languaculture,언어문화,"the inseparability of language and culture; the ""langua"" is about discourse, not just about words and sentences, and the ""culture"" is about meanings that include, but go well beyond, what the dictionary and grammar offer","언어와 문화의 불가분성을 나타내는 개념으로, 언어는 문화적 의미를 내포하고 있음을 강조함"
232,language ability,언어 능력,"a general or overall competence to perform in an acquired language; also referred to as language proficiency (a less preferable term)","습득한 언어로 기능할 수 있는 전반적이고 일반적인 역량 (언어 숙달도라고도 함)"
233,language ego,언어 자아,"the identity a person develops in reference to the language he or she speaks","한 개인이 자신이 구사하는 언어와 관련하여 발달시키는 또 다른 자아 정체성"
234,Language Experience Approach (LEA),언어 경험 접근법,"an integrated-skills approach initially used in teaching native language reading skills, but more recently adapted to second language learning contexts","초기에는 모국어 읽기 교수에 사용되었으나 제2언어 학습에 채택된 통합 기능 접근법"
235,language policy,언어 정책,"official statements by governmental or educational institutions that declare the status, use, and teaching of a language within a political or geographical entity","정부나 교육 기관이 국가 내 언어의 지위, 사용, 교육 등을 공식적으로 선언하는 정책"
236,languages for specific purposes (LSP),특수 목적 언어,"instruction in which students learn to interact with the language as it is spoken or written in specific disciplines being pursued by students","학생들이 공부하는 특정 전공이나 직업 분야에서 사용되는 구어 및 문어의 상호작용 방식을 학습하는 것"
237,LCTLS (Less Commonly Taught Languages),덜 일반적으로 가르쳐지는 언어,"all languages other than English and the commonly taught European languages of French, German, and Spanish","영어, 프랑스어, 독일어, 스페인어 등 흔히 교육되는 언어를 제외한 모든 언어"
238,learner language,학습자 언어,"generic term used to describe a learner's interlanguage or interlanguage system","학습자의 중간언어 혹은 그 체계를 묘사할 때 흔히 사용되는 포괄적 용어"
239,learner-centered instruction,학습자 중심 교육,"model of education with a focus on learners' needs and goals and individual differences in a supportive atmosphere that offers students choices and some control","학생에게 선택권과 통제권을 부여하여 학습자의 필요와 개인차에 초점을 맞추는 교육 모델"
240,learning strategies,학습 전략,"strategic options relating to input, processing, storage, and retrieval, or taking in messages from others, as opposed to communication strategies","의사소통 전략과 구별되며 입력, 처리, 저장 및 인출과 관련된 학습자의 구체적 전략"
241,learning style,학습 유형 (스타일),"cognitive, affective, and physiological traits that are relatively stable indicators of how learners perceive, interact with, and respond to the learning environment","학습 환경을 인지하고 반응하는 방식에 대한 비교적 안정적인 지표가 되는 인지적, 정의적 특성"
242,lesson,수업 (레슨),"a single class or part of a course of instruction","교육 과정의 일부이거나 단일한 수업 단위"
243,Lexical Approach,어휘적 접근법,"a language teaching method that emphasized the importance of words (vocabulary) in SLA","제2언어 습득(SLA)에서 어휘의 중요성을 특히 강조하는 언어 교수 방법론"
244,lexicogrammatical,어휘문법적인,"a term used in systemic functional linguistics (SFL) to emphasize the interdependence of vocabulary (lexis) and syntax (grammar)","어휘와 구문(문법) 사이의 상호의존성을 강조하기 위해 전신 기능 언어학에서 사용되는 용어"
245,liberation education,해방 교육,"teaching to enable learners to think critically, to be freed from oppressive doctrines and systems, to believe in themselves, and to ""pull themselves up by their own bootstraps""","학습자가 비판적으로 사고하고 스스로에 대한 믿음을 가지며 주체적으로 일어설 수 있도록 하는 교육"
246,limited-response task,제한 반응 과업,"a task that requires only a few words or a phrase as the answer","정답으로 단 몇 개의 단어나 구만을 요구하는 평가 과업"
247,linguicism,언어 차별주의,"the belief that language has the potential to legitimize an unequal division of power and resources in which a dominant language is held in high esteem and dominated languages are stigmatized","지배적 언어의 위상을 높이고 비주류 언어를 억압하여 권력 불평등을 합리화할 수 있다는 신념"
248,listening cloze,듣기 클로즈,"see cloze","cloze 참조"
249,literacy,문해력,"ability to read and write (and, at its beginning level, to recognize and produce alphabetic symbols, capitalized and lowercase letters, punctuation, words)","알파벳 기호를 인식하고 글을 읽고 쓸 줄 아는 기초 능력을 포함한 전반적 독해 및 작문 능력"
250,local error,부분적 오류 (국지적 오류),"an error that does not prevent a message from being understood, usually due to a minor violation of one segment of a sentence, allowing the hearer/reader to make an accurate guess about the intended meaning.","문장의 일부 요소를 위반했으나 의사소통 자체를 방해하지는 않아 의도된 의미 파악이 가능한 오류"
251,low-frequency word,저빈도어,"a word that seldom or rarely appears in written or spoken texts; as opposed to high-frequency word","구어나 문어 텍스트에서 거의 혹은 드물게 나타나는 단어; 고빈도어와 반대됨"
252,macroskills,거시 기능 (대기능),"linguistic competencies that involve language competence beyond the sentence level (discourse, pragmatics, rhetorical devices); as opposed to microskills","문장 수준을 넘어서는 (담화, 화용론 등) 거시적인 언어 능력을 포함하는 언어 역량"
253,MALL (Mobile Assisted Language Learning),모바일 보조 언어 학습,"the use of mobile technologies (e.g., smart phones, tablets) for language learning, especially in situations where device portability offers particular advantages","휴대성이 주는 이점이 특히 큰 상황에서 스마트폰 등 모바일 기술을 활용하는 언어 학습 방법"
254,manipulative,조작적인 (기계적인),"pertaining to techniques totally controlled by the teacher and requiring a predicted response from the student(s)","교사가 완벽히 통제하여 학생으로부터 예측된 정형화된 반응만을 이끌어내는 기법에 관한 것"
255,meaning,의미,"the semantic level of structural items including lexical and grammatical meaning","어휘적 및 문법적 의미를 포함하는 구조적 항목의 의미론적 수준"
256,meaningful drills,유의미한 드릴 (반복 훈련),"techniques with a predicted or a limited set of possible responses relating to some form of reality","어느 정도의 현실성과 관련을 맺으면서도 예측 가능하고 제한된 대답을 유도하는 연습 기법"
257,meaningful learning,유의미 학습,"anchoring and relating new items and experiences to knowledge that exists in the cognitive framework","새로운 정보와 경험을 학습자의 인지 구조에 이미 존재하는 기존 지식과 연결하여 정착시키는 것"
258,measurement,측정,"the process of quantifying a test-taker's performance according to explicit procedures or rules","명시적인 절차나 규칙에 따라 수험자의 수행 결과를 수량화하는 객관적 과정"
259,mechanical drills,기계적 드릴,"techniques that require only one correct response from a student without connection with reality","유의미한 현실 상황과의 연결 없이 학생에게 단 하나의 정확한 기계적 반응만을 요구하는 기법"
260,mechanical task,기계적 과업,"a task that determines in advance what the test-taker will produce (e.g., reading aloud or repeating a sentence)","큰 소리로 읽기나 따라 말하기 등 수험자가 무엇을 산출할지 사전에 정해져 있는 평가 과업"
261,mediation,중재,"utilizing a concept or idea to act as an intermediary between otherwise difficult or unrelatable cognitive/linguistic constructs in order to achieve meaning or communicative goals; the process of assisting learning through scaffolding and other means that help learners to reach their goals","학습자가 목표에 도달할 수 있도록 비계(scaffolding) 등을 활용하여 의미나 소통의 간극을 돕고 연결하는 과정"
262,metacognitive strategies,메타인지 전략,"strategic options that relate to one's ""executive"" functions; strategies that involve planning for learning, thinking about the learning process as it is taking place, monitoring of one's production or comprehension, and evaluating learning after an activity is completed","학습을 계획하고 자신의 산출과 이해를 모니터링하며 학습 완료 후 스스로를 평가하는 상위 인지적 전략"
263,metalinguistic feedback,메타언어적 피드백,"responses to a learner's output that provide comments, information, or questions related to the linguistic form(s) of the learner's utterance","학습자의 발화 중 언어 형태와 관련된 코멘트나 정보, 질문을 제공하는 직접적 피드백 유형"
264,method,교수법,"a coherent, prescribed group of activities and techniques for language teaching, unified by a homogeneous set of principles or foundations; sometimes claimed to be suitable for all L2 teaching contexts","동질적인 원리나 토대에 의해 통합된 일관적이고 규정된 언어 교수 활동 및 기법의 집합"
265,methodology,방법론,"pedagogical practices in general, including theoretical underpinnings and related research","이론적 기반과 관련된 연구 등을 모두 포괄하는 일반적인 교육학적 실제와 접근법 전체"
266,micro-text deconstruction,미시 텍스트 해체,"referring to the branch of NLP that focuses on handling microtext","자연어 처리에서 소규모 텍스트를 다루고 해체하는 데 초점을 맞추는 분야"
267,microskills,미시 기능 (소기능),"skills that are at the sentence level","문장 수준 혹은 그 이하의 세부적이고 구체적인 언어 기능 요소"
268,modified interaction,수정된 상호작용,"the various modifications that native speakers and other interlocutors create in order to render their input comprehensible to learners","학습자가 이해할 수 있도록 원어민이나 상대방이 입력의 구조 등을 다양하게 조정한 상호작용"
269,modifying input,수정된 입력,"inputs which cause a change in input-output relationships for either desired inputs or interfering inputs or for both","원하는 입력이나 방해되는 입력에 대해 입력-산출 관계의 변화를 유발하도록 조정한 언어 입력"
